GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjetJ2E,tsi.ensg.jee.colloque.securingweb,WebSecurityConfig,0,58,0,0,0,19,0,3,0,3
ProjetJ2E,tsi.ensg.jee.colloque,Application,5,3,0,0,2,1,1,1,1,1
ProjetJ2E,tsi.ensg.jee.colloque.services,IntervenantDao,23,3,0,0,7,1,4,1,4,1
ProjetJ2E,tsi.ensg.jee.colloque.services,ParticipantDao,23,3,0,0,7,1,4,1,4,1
ProjetJ2E,tsi.ensg.jee.colloque.services,EvenementDao,23,3,0,0,7,1,4,1,4,1
ProjetJ2E,tsi.ensg.jee.colloque.controller,IntervenantController,2,3,0,0,1,1,1,1,1,1
ProjetJ2E,tsi.ensg.jee.colloque.controller,ParticipantController,100,3,2,0,22,1,8,1,7,1
ProjetJ2E,tsi.ensg.jee.colloque.controller,EvenementController,81,3,2,0,19,1,8,1,7,1
ProjetJ2E,tsi.ensg.jee.colloque.controller,LoginController,0,14,0,0,0,4,0,2,0,2
ProjetJ2E,tsi.ensg.jee.colloque.metier,Intervenant,114,3,12,0,15,2,14,1,8,1
ProjetJ2E,tsi.ensg.jee.colloque.metier,Evenement,0,321,9,17,0,40,9,30,0,26
ProjetJ2E,tsi.ensg.jee.colloque.metier,Participant,0,230,6,14,0,30,6,23,0,19
